Site,X,Y,Num. Vars,Start Date,End Date,Total Samples at Site
S37,322585.9904,6288803.9764,17,05-01-1995,26-03-2021,3616
S41,326476.0819,6278229.8557,17,10-10-1994,11-06-2002,1108
S48,324122.0306,6289126.0065,17,10-10-1994,25-02-2021,3926
S60,325840.7013,6280725.6882,17,05-12-1994,06-11-2019,4958
S61,325601.2125,6282081.6646,17,07-03-1997,29-03-2021,10926
S67,329168.1166,6286141.1955,17,05-06-1997,06-05-2003,404
S68,327963.9439,6287056.0908,17,05-06-1997,11-06-2002,391
S69,328955.0423,6288037.9694,17,05-06-1997,11-06-2002,397
S90,324580.5194,6277423.0104,17,07-12-2004,26-03-2008,786
S97,325865.8162,6279233.4805,17,18-10-2017,26-02-2021,207
S100,325077.5782,6277790.4301,17,13-12-2005,22-02-2021,3020
S118,324073.0183,6277611.9992,17,03-12-2008,01-03-2021,392
S151,327832.2440,6288209.9760,17,16-11-2010,29-03-2021,2017
S210,328274.4366,6285440.4603,17,18-10-2017,26-02-2021,207
NB11,328096.6060,6284349.3330,17,30-01-1990,03-11-2020,5398
NB13,325352.3130,6282059.0840,17,15-07-2002,03-11-2020,3249
